show_id,title,year released,certificate,duration_min,genre,rating,description,stars,votes
S1353,Moving Art: Forests,2014,Not Rated,25,Documentary,8.3,Viewers will marvel at the majesty of nature's gentle giants as filmmaker Louie Schwartzberg journeys to the Redwood Coast and Olympic National Park.,['Louie Schwartzberg'],203
S1354,Shrew's Nest,2014,Not Rated,91,Drama,6.7,1950s Madrid: The agoraphobic Montse raised her now 18 y.o. kid sister. The upstairs neighbor falls down the stairs and breaks a leg. The crazy Montse takes him in.,"['Juanfer Andrés, ', 'Esteban Roel', '| ', '    Stars:', 'Macarena Gómez, ', 'Nadia de Santiago, ', 'Hugo Silva, ', 'Luis Tosar']","7,080"
S1355,Step Up All In,2014,PG-13,112,Drama,5.9,"All-stars from the previous Step Up installments come together in glittering Las Vegas, battling for a victory that could define their dreams and their careers.","['Trish Sie', '| ', '    Stars:', 'Ryan Guzman, ', 'Briana Evigan, ', 'Adam Sevani, ', 'Misha Gabriel Hamilton']","34,613"
S1356,Steve Byrne: Champion,2014,Not Rated,70,Comedy,6.8,"Steve Byrne, the star of Sullivan & Son, brings his high-energy flair to a live audience in his latest & most personal work in his new one-hour comedy special, Champion.","['Jay Chapman', '| ', '    Star:', 'Steve Byrne']",147
S1357,Morgan Murphy: Irish Goodbye,2014,Not Rated,51,Comedy,6.8,"Morgan Murphy brings dry and self-deprecating wit to the stage for this hilarious, gin-soaked special. Murphy's first target is always herself, but won't hesitate to bring down everyone from Planned Parenthood to teenage sexters.","['Jay Chapman', '| ', '    Stars:', 'Morgan Murphy, ', 'Brody Stevens']",336
S1358,We Bare Bears,2014,TV-PG,30,Animation,7.9,Three bear brothers do whatever they can to be a part of human society by doing what everyone around them does.,"['Eric Edelstein, ', 'Demetri Martin, ', 'Bobby Moynihan, ', 'Keith Ferguson']","15,784"
S1359,Tiny House Nation,2014,TV-PG,41,Reality-TV,8,"John and Zack head to Arkansas farm country, to help a couple who have been living on the road turn a school bus into a tiny home where they can settle down. Carol and Charlie have spent ...                See full summary »","['John Weisbarth, ', 'Zack Giffin, ', 'Carol Boger, ', 'Charles Boger']",26
S1360,Moving Art: Flowers,2014,Not Rated,25,Documentary,8.3,"Celebrated filmmaker Louie Schwartzberg takes viewers on an enchanting journey, unveiling the mysteries and wonders of the natural world as elegant flowers come to life through his stunning time-lapse cinematography.",['Louie Schwartzberg'],211
S1361,Flight 7500,2014,PG-13,80,Drama,4.8,"Flight 7500 departs Los Angeles International Airport bound for Tokyo. As the overnight flight makes its way over the Pacific Ocean during its ten-hour course, the passengers encounter what appears to be a supernatural force in the cabin.","['Takashi Shimizu', '| ', '    Stars:', 'Leslie Bibb, ', 'Ryan Kwanten, ', 'Amy Smart, ', 'Jamie Chung']","16,082"
S1362,Tiny House Nation,2014,TV-PG,41,Reality-TV,6.5,"John and Zack head to in Jacksonville, Florida, to help Jack, a veteran working two full-time jobs to support his family. 80-hour workweeks mean Jack is always away while his kids are ...                See full summary »","['John Weisbarth, ', 'Zack Giffin']",25
