title,year released,certificate,duration,genre,rating,votes
Caught by a Wave,2021,TV-14,99 min,"Drama, Romance, Sport",5.8,"1,329"
Age of Samurai: Battle for Japan,2021,TV-MA,43 min,"Documentary, Action, Adventure",7.4,251
Ginny & Georgia,2021,TV-MA,55 min,"Comedy, Drama",7.6,599
So Not Worth It,2021,TV-14,35 min,"Comedy, Drama",7.0,"1,135"
Confessions of an Invisible Girl,2021,TV-PG,91 min,"Comedy, Drama",5.2,"1,111"
Ginny & Georgia,2021,TV-MA,55 min,"Comedy, Drama",7.8,644
Ginny & Georgia,2021,TV-MA,56 min,"Comedy, Drama",7.8,677
Age of Samurai: Battle for Japan,2021,TV-MA,42 min,"Documentary, Action, Adventure",7.4,209
Bombay Begums,2021,TV-MA,50 min,Drama,5.2,"4,915"
Age of Samurai: Battle for Japan,2021,TV-MA,42 min,"Documentary, Action, Adventure",7.6,198
Ginny & Georgia,2021,TV-MA,54 min,"Comedy, Drama",7.5,701
Age of Samurai: Battle for Japan,2021,TV-MA,43 min,"Documentary, Action, Adventure",7.4,188
Have You Ever Seen Fireflies?,2021,TV-14,113 min,"Comedy, Drama",6.1,"5,072"
The Mauritanian,2021,R,129 min,"Biography, Drama, Thriller",7.4,"51,115"
Little Big Mouth,2021,TV-14,94 min,"Comedy, Music, Romance",4.1,185
Midnight Mass,2021,TV-MA,450 min,"Drama, Fantasy, Horror",7.7,"110,997"
Squid Game,2021,TV-MA,55 min,"Action, Drama, Mystery",8.0,"435,164"
Love Me Instead,2021,TV-MA,124 min,Drama,7.0,"2,676"
Baggio: The Divine Ponytail,2021,TV-MA,91 min,"Biography, Drama, Sport",6.1,"4,529"
Uppena,2021,TV-14,147 min,"Action, Drama, Romance",6.5,"3,948"
Godzilla Singular Point,2021,TV-14,24 min,"Animation, Action, Mystery",6.5,"1,721"
Forever Rich,2021,TV-MA,89 min,"Comedy, Crime, Drama",5.5,"1,052"
City of Ghosts,2021,TV-PG,20 min,"Animation, Adventure, Family",7.5,407
High on the Hog: How African American Cuisine Transformed America,2021,TV-14,210 min,"Documentary, History",7.7,711
Prime Time,2021,TV-MA,93 min,"Drama, Thriller",5.2,"1,822"
Naomi Osaka,2021,TV-14,113 min,"Documentary, Biography, Sport",6.3,"1,323"
The Big Day,2021,TV-MA,40 min,"Reality-TV, Romance",4.7,347
"Barbie: Big City, Big Dreams",2021,TV-Y,60 min,"Animation, Family, Musical",5.7,331
Stowaway,2021,TV-MA,116 min,"Adventure, Sci-Fi, Thriller",5.6,"46,158"
Jiva!,2021,TV-MA,50 min,Drama,5.6,272
Procession,2021,R,118 min,Documentary,7.2,"1,201"
Life in Colour,2021,TV-PG,143 min,Documentary,8.2,"3,347"
Nail Bomber: Manhunt,2021,TV-MA,72 min,"Documentary, Crime, History",6.3,"2,192"
Arcane,2021,TV-14,41 min,"Animation, Action, Adventure",9.0,"196,697"
The Catholic School,2021,TV-MA,106 min,Drama,5.8,"1,536"
One Second,2021,TV-14,88 min,"Comedy, Romance",4.7,433
Arlo the Alligator Boy,2021,TV-Y7,90 min,"Animation, Adventure, Comedy",6.4,"1,134"
Cabras da Peste,2021,TV-14,97 min,"Action, Comedy, Crime",6.0,"1,815"
The Kingdom,2021,TV-MA,52 min,"Crime, Drama",6.5,"1,414"
Camp Confidential: America's Secret Nazis,2021,PG-13,36 min,"Documentary, Animation, Short",6.6,869
Sing 2,2021,PG,110 min,"Animation, Adventure, Comedy",7.4,"65,399"
David and the Elves,2021,TV-G,105 min,"Comedy, Family, Fantasy",5.2,702
Blood Red Sky,2021,TV-MA,121 min,"Action, Adventure, Drama",6.1,"48,309"
Johnny Test,2021,TV-Y7,11 min,"Animation, Action, Adventure",6.3,379
The Last Letter from Your Lover,2021,TV-MA,110 min,"Drama, Romance",6.7,"17,875"
Jupiter's Legacy,2021,TV-MA,56 min,"Action, Adventure, Drama",6.7,"38,387"
Tokyo Revengers,2021,TV-14,24 min,"Animation, Action, Drama",8.1,"15,752"
Double Dad,2021,TV-G,103 min,"Comedy, Drama, Family",5.6,"1,312"
The Hand of God,2021,R,130 min,Drama,7.3,"41,588"
Everything Will Be Fine,2021,TV-MA,35 min,"Comedy, Drama",6.3,344
Child of Kamiari Month,2021,TV-PG,99 min,"Animation, Adventure, Drama",5.9,867
Shadow and Bone,2021,TV-14,60 min,"Action, Adventure, Drama",7.6,"82,657"
Don't Look Up,2021,R,138 min,"Comedy, Drama, Sci-Fi",7.2,"525,424"
The Dig,2021,PG-13,112 min,"Biography, Drama, History",7.1,"74,270"
Sky Rojo,2021,TV-MA,28 min,"Action, Adventure, Crime",6.9,458
My Heroes Were Cowboys,2021,PG,22 min,"Documentary, Short",6.7,282
Just Short of Perfect,2021,TV-14,94 min,"Comedy, Romance",5.3,"1,047"
Malcolm & Marie,2021,R,106 min,"Drama, Romance",6.6,"37,062"
I Am All Girls,2021,TV-MA,107 min,"Crime, Drama, Mystery",5.9,"6,139"
Mushoku Tensei: Jobless Reincarnation,2021,TV-14,24 min,"Animation, Action, Adventure",8.4,"10,155"
Nicole Byer: BBW (Big Beautiful Weirdo),2021,TV-MA,65 min,Comedy,5.7,561
The House of Flowers: The Movie,2021,TV-MA,86 min,"Comedy, Drama",5.5,875
Britney vs Spears,2021,TV-MA,93 min,"Documentary, Biography, Music",6.4,"7,157"
Squid Game,2021,TV-MA,55 min,"Action, Drama, Mystery",8.0,"435,160"
My Amanda,2021,TV-14,89 min,"Drama, Romance",5.7,320
Squared Love,2021,TV-14,102 min,"Comedy, Romance",5.1,"3,227"
King of Boys: The Return of the King,2021,TV-MA,439 min,"Crime, Drama",6.2,263
Sex/Life,2021,TV-MA,45 min,"Comedy, Drama, Romance",5.4,"21,107"
Brand New Cherry Flavor,2021,TV-MA,42 min,"Drama, Horror, Mystery",6.5,463
Misha and the Wolves,2021,PG-13,90 min,"Documentary, Drama",6.7,"2,613"
Hellbound,2021,TV-MA,150 min,"Crime, Drama, Fantasy",6.6,"23,866"
The Serpent,2021,TV-MA,458 min,"Crime, Drama, Thriller",7.6,"43,200"
We the People,2021,TV-PG,3 min,"Animation, Short, Comedy",3.7,760
"tick, tick... BOOM!",2021,PG-13,120 min,"Biography, Drama, Musical",7.5,"103,537"
Ali & the Queens,2021,TV-14,100 min,"Comedy, Drama",7.0,"1,270"
Kyûketsuki Sugu Shinu,2021,TV-14,24 min,"Animation, Comedy, Fantasy",6.8,222
Army of Thieves,2021,TV-MA,127 min,"Action, Comedy, Crime",6.4,"75,902"
Jim Gaffigan: Comedy Monster,2021,TV-14,70 min,Comedy,6.9,"1,736"
Inside Job,2021,TV-MA,30 min,"Animation, Comedy, Fantasy",7.6,"17,662"
Ginny & Georgia,2021,TV-MA,54 min,"Comedy, Drama",7.7,623
He's All That,2021,TV-14,88 min,"Comedy, Romance",4.4,"24,843"
Stay Close,2021,TV-MA,375 min,"Crime, Drama, Mystery",6.9,"31,279"
Brand New Cherry Flavor,2021,TV-MA,41 min,"Drama, Horror, Mystery",7.2,524
Cells at Work! Code Black,2021,TV-14,24 min,"Animation, Action, Comedy",7.5,502
Brand New Cherry Flavor,2021,TV-MA,51 min,"Drama, Horror, Mystery",7.2,648
Just Say Yes,2021,TV-MA,97 min,"Comedy, Romance",4.5,"1,990"
Too Hot to Handle: Latino,2021,TV-MA,36 min,"Game-Show, Reality-TV, Romance",5.3,298
Life's a Glitch with Julien Bam,2021,TV-MA,35 min,"Comedy, Sci-Fi",4.3,373
Asakusa Kid,2021,TV-MA,122 min,"Biography, Drama",7.1,"1,311"
Stuck Apart,2021,TV-MA,96 min,"Comedy, Drama",6.0,"10,611"
We Couldn't Become Adults,2021,TV-MA,124 min,"Drama, Romance",6.5,758
Worn Stories,2021,TV-MA,30 min,Documentary,6.7,319
Fear Street: Part Two - 1978,2021,R,109 min,"Drama, Horror, Mystery",6.7,"62,722"
Carnaval,2021,TV-MA,94 min,Comedy,4.0,930
Bankrolled,2021,TV-MA,97 min,Comedy,4.0,320
Rita Moreno: Just a Girl Who Decided to Go for It,2021,PG-13,90 min,"Documentary, Biography",7.7,781
Lupin,2021,TV-MA,47 min,"Action, Crime, Drama",7.8,"3,771"
Things Heard & Seen,2021,TV-MA,121 min,"Drama, Horror, Mystery",5.3,"31,421"
The Green Knight,2021,R,130 min,"Adventure, Drama, Fantasy",6.6,"98,337"
This Is a Robbery: The World's Greatest Art Heist,2021,TV-MA,210 min,"Documentary, Crime, History",6.5,"4,429"
Lupin,2021,TV-MA,45 min,"Action, Crime, Drama",7.5,"105,218"
One Of Us Is Lying,2021,TV-MA,50 min,"Crime, Drama, Mystery",6.8,"8,906"
Adventure Beast,2021,TV-MA,20 min,"Animation, Adventure, Comedy",5.2,589
Countdown: Inspiration4 Mission to Space,2021,TV-14,244 min,Documentary,7.8,"1,915"
The Lost Daughter,2021,R,121 min,Drama,6.7,"62,800"
Brand New Cherry Flavor,2021,TV-MA,41 min,"Drama, Horror, Mystery",7.2,416
The Harder They Fall,2021,R,139 min,"Action, Drama, Western",6.5,"61,698"
Blood Brothers: Malcolm X & Muhammad Ali,2021,PG-13,95 min,"Documentary, Biography, History",6.9,986
Fear Street: Part One - 1994,2021,R,107 min,"Drama, Horror, Mystery",6.2,"79,648"
The Vault,2021,R,118 min,"Action, Adventure, Thriller",6.4,"25,121"
Sempre più bello,2021,TV-14,105 min,"Comedy, Drama, Romance",5.4,517
Ghost Lab,2021,TV-MA,117 min,"Drama, Horror, Thriller",5.2,"1,459"
Tribhanga,2021,TV-MA,95 min,"Drama, Family",6.2,"2,975"
Swallow,2021,TV-14,128 min,"Drama, History, Thriller",3.7,197
Love Is Blind: Brazil,2021,TV-MA,60 min,"Reality-TV, Romance",6.2,459
Christmas Flow,2021,TV-MA,50 min,"Comedy, Music, Romance",5.9,745
Murder by the Coast,2021,TV-MA,88 min,"Documentary, Crime, History",6.5,"2,204"
More than Blue: The Series,2021,TV-14,50 min,"Drama, Romance",7.8,325
Bake Squad,2021,TV-PG,35 min,"Game-Show, Reality-TV",6.8,723
The Future Diary,2021,TV-PG,35 min,"Reality-TV, Romance",7.0,137
Brand New Cherry Flavor,2021,TV-MA,40 min,"Drama, Horror, Mystery",7.4,430
Attack of the Hollywood Cliches!,2021,TV-MA,58 min,"Documentary, Comedy",6.1,"3,827"
Barbie & Chelsea the Lost Birthday,2021,TV-Y,60 min,"Animation, Adventure, Family",5.2,223
Brand New Cherry Flavor,2021,TV-MA,47 min,"Drama, Horror, Mystery",7.5,471
Akhirat: A Love Story,2021,TV-14,112 min,"Drama, Fantasy, Romance",6.3,108
Headspace Guide to Meditation,2021,TV-G,173 min,"Documentary, Animation",8.4,"1,602"
Skyggen i mit øje,2021,TV-MA,107 min,"Drama, History, War",7.3,"10,999"
The Unforgivable,2021,R,112 min,"Crime, Drama",7.1,"107,709"
Cowboy Bebop,2021,TV-MA,58 min,"Action, Adventure, Comedy",6.7,"39,424"
Brand New Cherry Flavor,2021,TV-MA,36 min,"Drama, Horror, Mystery",7.3,478
Zero to Hero,2021,TV-14,102 min,"Biography, Drama, Sport",6.7,922
Namaste Wahala,2021,TV-14,106 min,"Drama, Romance",5.1,"1,567"
Nate Bargatze: The Greatest Average American,2021,TV-G,60 min,Comedy,7.3,"1,412"
Army of the Dead,2021,R,148 min,"Action, Crime, Horror",5.7,"171,262"
Bartkowiak,2021,TV-MA,91 min,"Action, Crime, Sport",5.1,"1,237"
1000 Miles from Christmas,2021,TV-PG,102 min,"Comedy, Romance",5.8,"1,529"
The Woman in the Window,2021,R,100 min,"Crime, Drama, Mystery",5.7,"74,469"
The Starling,2021,PG-13,102 min,"Comedy, Drama",6.3,"13,097"
Breaking Boundaries: The Science of Our Planet,2021,TV-PG,73 min,Documentary,7.8,"2,786"
The Power of the Dog,2021,R,126 min,"Drama, Romance, Western",6.8,"169,764"
Clickbait,2021,TV-MA,42 min,"Crime, Drama, Mystery",7.3,"1,281"
Bright: Samurai Soul,2021,TV-14,80 min,"Animation, Action, Adventure",5.5,864
Elite Short Stories: Omar Ander Alexis,2021,TV-MA,35 min,"Short, Drama",7.2,"1,979"
Below Zero,2021,TV-MA,106 min,"Action, Adventure, Crime",6.2,"19,509"
The Guilty,2021,R,90 min,"Crime, Drama, Thriller",6.3,"121,907"
The Little Things,2021,R,128 min,"Crime, Drama, Mystery",6.3,"99,050"
The Turning Point,2021,TV-MA,97 min,"Crime, Drama",6.2,722
Brand New Cherry Flavor,2021,TV-MA,44 min,"Drama, Horror, Mystery",7.3,405
"My Brother, My Sister",2021,TV-14,110 min,Drama,6.0,979
History of Swear Words,2021,TV-MA,124 min,"Documentary, Comedy",6.4,"4,966"
Maid,2021,TV-MA,545 min,Drama,8.4,"81,102"
Operation Mincemeat,2021,PG-13,128 min,"Drama, War",6.6,"22,162"
Pacific Rim: The Black,2021,TV-14,29 min,"Animation, Action, Adventure",7.0,305
Pacific Rim: The Black,2021,TV-14,22 min,"Animation, Action, Adventure",6.8,255
Pacific Rim: The Black,2021,TV-14,21 min,"Animation, Action, Adventure",6.9,244
Gunpowder Milkshake,2021,R,114 min,"Action, Crime, Thriller",6.0,"43,839"
Generation 56K,2021,TV-14,30 min,"Comedy, Drama, Romance",7.4,"2,496"
Pacific Rim: The Black,2021,TV-14,25 min,"Animation, Action, Adventure",7.0,237
The Snitch Cartel: Origins,2021,TV-MA,60 min,"Crime, Drama",5.6,195
Young Royals,2021,TV-MA,50 min,"Drama, Romance",8.3,"30,076"
Brand New Cherry Flavor,2021,TV-MA,342 min,"Drama, Horror, Mystery",7.1,"15,476"
Shaun the Sheep: The Flight Before Christmas,2021,TV-Y,30 min,"Animation, Comedy, Family",7.3,"1,515"
There's Someone Inside Your House,2021,TV-MA,96 min,"Horror, Mystery, Thriller",4.8,"16,059"
Pelé,2021,TV-14,108 min,"Documentary, Biography, Sport",7.0,"4,356"
Love Hard,2021,TV-MA,104 min,"Comedy, Romance",6.3,"50,967"
Hometown Cha-Cha-Cha,2021,TV-14,70 min,"Comedy, Romance",8.4,"12,059"
Behind Her Eyes,2021,TV-MA,50 min,"Drama, Mystery, Thriller",6.9,"1,359"
Sardar Ka Grandson,2021,TV-14,139 min,"Comedy, Drama, Romance",4.2,"4,598"
Who Killed Sara?,2021,TV-MA,40 min,"Crime, Drama, Mystery",6.4,"14,316"
Monster Hunter: Legends of the Guild,2021,TV-14,58 min,"Animation, Action, Adventure",5.1,"1,312"
Escape Room: Tournament of Champions,2021,PG-13,88 min,"Action, Adventure, Horror",5.7,"44,400"
The Guide to the Perfect Family,2021,TV-MA,102 min,"Comedy, Drama",6.4,"1,726"
The Secret Diary of an Exchange Student,2021,TV-14,96 min,"Comedy, Romance",5.3,922
A Perfect Fit,2021,TV-PG,112 min,"Comedy, Drama, Romance",5.3,610
I Heart Arlo,2021,TV-Y7,11 min,"Animation, Short, Adventure",6.5,229
Cadet 1947,2021,TV-14,111 min,"Drama, History, War",6.5,178
Vincenzo,2021,Not Rated,80 min,"Action, Comedy, Crime",8.4,"17,647"
Deep,2021,TV-MA,101 min,"Drama, Mystery, Sci-Fi",4.8,"1,483"
June and Kopi,2021,TV-G,90 min,"Comedy, Family",6.3,567
Zero,2021,TV-MA,27 min,"Action, Comedy, Drama",5.7,"1,326"
Red Notice,2021,PG-13,118 min,"Action, Comedy, Thriller",6.3,"270,232"
Munich: The Edge of War,2021,PG-13,130 min,"Biography, Drama, History",6.8,"29,870"
The Chestnut Man,2021,TV-MA,50 min,"Crime, Drama, Mystery",7.7,"44,386"
Sharkdog,2021,TV-Y,7 min,"Animation, Short, Adventure",5.9,174
Bangkok Breaking,2021,TV-MA,60 min,"Action, Crime, Drama",5.8,307
Copshop,2021,R,107 min,"Action, Thriller",6.2,"30,767"
Jagame Thandhiram,2021,TV-MA,158 min,"Action, Crime, Drama",5.8,"11,860"
No One Gets Out Alive,2021,R,87 min,"Drama, Horror, Mystery",5.3,"15,996"
Behind Her Eyes,2021,TV-MA,298 min,"Drama, Mystery, Thriller",7.2,"60,901"
Biggie: I Got a Story to Tell,2021,R,97 min,"Documentary, Biography, Music",6.8,"5,115"
Ankahi Kahaniya,2021,TV-14,110 min,"Drama, Romance",5.5,896
Elize Matsunaga: Once Upon a Crime,2021,TV-MA,197 min,"Documentary, Biography, Crime",5.9,"2,216"
Jimmy Carr: His Dark Material,2021,TV-MA,59 min,Comedy,7.1,"5,023"
"Strip Down, Rise Up",2021,R,112 min,Documentary,5.3,678
This Is Pop,2021,TV-MA,44 min,Music,6.9,"1,180"
Dota: Dragon's Blood,2021,TV-MA,25 min,"Animation, Action, Adventure",7.8,"19,110"
Tiger King: The Doc Antle Story,2021,TV-MA,127 min,"Documentary, Biography, Crime",6.2,"1,671"
The Mitchells vs the Machines,2021,PG,114 min,"Animation, Adventure, Comedy",7.6,"106,685"
Feels Like Ishq,2021,TV-MA,32 min,"Comedy, Drama, Romance",6.4,"1,569"
Halston,2021,TV-MA,46 min,"Biography, Drama",7.5,795
The Women and the Murderer,2021,TV-14,92 min,"Documentary, Crime",6.4,"1,324"
Night Teeth,2021,TV-14,107 min,"Action, Crime, Drama",5.6,"18,285"
The Perfect Family,2021,TV-MA,110 min,Comedy,5.3,"2,256"
Pagglait,2021,TV-14,114 min,"Comedy, Drama",6.9,"9,446"
"Bob Ross: Happy Accidents, Betrayal & Greed",2021,TV-14,92 min,Documentary,6.9,"5,981"
Jupiter's Legacy,2021,TV-MA,56 min,"Action, Adventure, Drama",7.7,"1,264"
Ferry,2021,TV-MA,106 min,"Action, Crime, Drama",7.0,"11,080"
Ajeeb Daastaans,2021,TV-MA,142 min,"Drama, Romance",6.7,"5,839"
Death to 2021,2021,TV-MA,60 min,Comedy,6.3,"14,757"
Geez & Ann,2021,TV-14,105 min,"Drama, Romance",5.1,292
Jupiter's Legacy,2021,TV-MA,36 min,"Action, Adventure, Drama",7.2,"1,238"
The Club,2021,TV-14,55 min,Drama,7.8,"9,409"
Bad Sport,2021,TV-MA,55 min,"Documentary, Crime, Mystery",7.3,"2,332"
Xtreme,2021,TV-MA,111 min,"Action, Crime, Drama",5.8,"4,436"
The Summit of the Gods,2021,PG,95 min,"Animation, Adventure, Drama",7.5,"6,107"
Jupiter's Legacy,2021,TV-MA,44 min,"Action, Adventure, Drama",7.2,"1,170"
Gone for Good,2021,TV-MA,247 min,"Crime, Drama, Mystery",6.3,"4,207"
Soil,2021,TV-MA,45 min,"Comedy, Drama",7.2,795
Jupiter's Legacy,2021,TV-MA,48 min,"Action, Adventure, Drama",7.0,"1,190"
Maya and the Three,2021,TV-Y7,30 min,"Animation, Action, Adventure",8.1,"3,940"
Secret Magic Control Agency,2021,TV-Y7,103 min,"Animation, Adventure, Comedy",6.2,"4,166"
The Billion Dollar Code,2021,TV-MA,267 min,"Biography, Crime, Drama",8.0,"8,579"
Prayers for the Stolen,2021,R,110 min,Drama,7.3,"2,785"
Ridley Jones,2021,TV-Y,27 min,"Animation, Adventure, Comedy",4.8,266
The Laws of the Border,2021,TV-MA,127 min,"Action, Adventure, Crime",6.9,"4,161"
A Faraway Land,2021,TV-PG,101 min,Drama,5.1,140
The Time It Takes,2021,TV-MA,10 min,"Short, Drama, Romance",7.1,"1,394"
The Lost Pirate Kingdom,2021,TV-MA,43 min,"Documentary, Adventure, Drama",6.6,"2,880"
Centaurworld,2021,TV-Y7,25 min,"Animation, Short, Adventure",7.6,"2,151"
The Irregulars,2021,TV-14,56 min,"Crime, Drama, Fantasy",7.0,440
Word of Honor,2021,TV-14,45 min,"Action, Drama, Fantasy",8.6,"3,047"
A Week Away,2021,TV-PG,94 min,"Drama, Family, Musical",5.7,"4,749"
The Irregulars,2021,TV-14,51 min,"Crime, Drama, Fantasy",7.0,472
The Irregulars,2021,TV-14,52 min,"Crime, Drama, Fantasy",7.0,519
High-Rise Invasion,2021,TV-MA,25 min,"Animation, Action, Horror",6.5,"3,062"
The Last Mercenary,2021,TV-MA,110 min,"Action, Adventure, Comedy",5.3,"8,638"
Hate by Dani Rovira,2021,PG-13,82 min,Comedy,6.7,432
Untold: Malice at the Palace,2021,TV-MA,68 min,"Documentary, Crime, Sport",7.5,"8,438"
Ginny & Georgia,2021,TV-MA,58 min,"Comedy, Drama",7.5,873
Friendzone,2021,TV-MA,88 min,"Comedy, Romance",5.9,"3,523"
Trees of Peace,2021,TV-MA,97 min,Drama,6.4,"1,284"
Meenakshi Sundareshwar,2021,TV-14,140 min,"Comedy, Romance",7.0,"17,592"
"Crack: Cocaine, Corruption & Conspiracy",2021,TV-MA,89 min,"Documentary, Crime, History",6.7,"3,423"
Pokémon Master Journeys,2021,TV-Y7,50 min,"Animation, Action, Adventure",7.6,194
Madame Claude,2021,TV-MA,112 min,"Biography, Crime, Drama",5.4,"3,470"
Dolly Parton: A MusiCares Tribute,2021,TV-PG,55 min,"Documentary, Music",6.6,244
RebellComedy: Straight Outta the Zoo,2021,TV-MA,74 min,Comedy,4.6,44
The Whole Truth,2021,TV-MA,125 min,"Drama, Horror, Mystery",5.2,"3,507"
Dave Chappelle: The Closer,2021,TV-MA,72 min,Comedy,8.0,"26,593"
Midnight Mass,2021,TV-MA,63 min,"Drama, Fantasy, Horror",7.7,"3,523"
The Irregulars,2021,TV-14,49 min,"Crime, Drama, Fantasy",6.8,572
Q-Force,2021,TV-MA,30 min,"Animation, Action, Adventure",6.4,"5,557"
The Irregulars,2021,TV-14,58 min,"Crime, Drama, Fantasy",6.3,778
Kitz,2021,TV-MA,45 min,"Drama, Mystery, Thriller",5.7,"2,472"
Mo Amer: Mohammed in Texas,2021,TV-MA,64 min,Comedy,6.6,838
Record of Ragnarok,2021,TV-14,24 min,"Animation, Action, Adventure",6.2,"5,162"
Jupiter's Legacy,2021,TV-MA,35 min,"Action, Adventure, Drama",7.0,"1,446"
Midnight Mass,2021,TV-MA,59 min,"Drama, Fantasy, Horror",7.3,"3,841"
Phil Wang: Philly Philly Wang Wang,2021,TV-MA,63 min,Comedy,6.1,662
Furioza,2021,TV-MA,139 min,"Action, Crime, Drama",6.2,"4,458"
Ganglands,2021,TV-MA,44 min,"Action, Crime, Drama",7.0,"2,640"
On the Verge,2021,TV-14,35 min,Comedy,6.5,"3,169"
Fatma,2021,TV-MA,40 min,"Crime, Drama, Thriller",7.4,"8,573"
Ginny & Georgia,2021,TV-MA,54 min,"Comedy, Drama",7.4,640
An Astrological Guide for Broken Hearts,2021,TV-14,30 min,"Comedy, Romance",7.1,"3,260"
Monsters Inside: The 24 Faces of Billy Milligan,2021,TV-MA,243 min,"Documentary, Crime",6.2,"3,763"
Reasonable Doubt: A Tale of Two Kidnappings,2021,TV-MA,186 min,"Documentary, Crime",7.6,204
Untold: Deal with the Devil,2021,TV-MA,77 min,"Documentary, Crime, Sport",7.3,"2,407"
Mobile Suit Gundam: Hathaway,2021,TV-14,95 min,"Animation, Action, Drama",6.6,"1,470"
Carolin Kebekus: The Last Christmas Special,2021,TV-MA,66 min,Comedy,4.8,101
Crazy About Her,2021,TV-MA,102 min,"Comedy, Romance",6.6,"5,850"
Ginny & Georgia,2021,TV-MA,50 min,"Comedy, Drama",7.5,675
The Devil Judge,2021,TV-14,75 min,"Crime, Drama, Mystery",8.3,"2,687"
The Perfect Mother,2021,TV-MA,192 min,"Drama, Thriller",5.9,"1,041"
Vicky and Her Mystery,2021,TV-PG,84 min,"Adventure, Drama, Family",6.3,"2,033"
American Siege,2021,R,91 min,"Action, Thriller",3.4,"1,697"
Animal,2021,TV-PG,45 min,Documentary,7.9,"1,263"
Spirit Untamed,2021,PG,88 min,"Animation, Adventure, Comedy",5.5,"3,715"
Dhamaka,2021,TV-14,103 min,"Crime, Drama, Thriller",7.1,"40,747"
Ginny & Georgia,2021,TV-MA,50 min,"Comedy, Drama",7.6,719
Baki Hanma,2021,TV-MA,25 min,"Animation, Action, Drama",6.7,"1,847"
Out of Death,2021,R,96 min,"Crime, Thriller",3.2,"5,006"
Jaguar,2021,TV-14,50 min,"Action, Drama, History",5.7,"1,848"
Afterlife of the Party,2021,TV-PG,109 min,"Comedy, Drama, Fantasy",5.8,"9,071"
Accomplice,2021,Not Rated,52 min,Documentary,7.2,393
Blue Period,2021,TV-14,24 min,"Animation, Drama",7.7,"2,205"
The Loud House Movie,2021,TV-Y7,83 min,"Animation, Adventure, Comedy",6.1,"2,122"
Untold: Crimes and Penalties,2021,TV-MA,85 min,"Documentary, Crime, Sport",7.4,"3,806"
Crime Scene: The Vanishing at the Cecil Hotel,2021,TV-MA,220 min,"Documentary, Crime, Mystery",5.9,"17,958"
Night Stalker: The Hunt for a Serial Killer,2021,TV-MA,189 min,"Documentary, Crime, Mystery",7.5,"25,727"
A Boy Called Christmas,2021,PG,106 min,"Adventure, Drama, Family",6.7,"21,273"
A California Christmas: City Lights,2021,PG-13,106 min,"Comedy, Drama, Romance",5.5,"2,476"
Ginny & Georgia,2021,TV-MA,51 min,"Comedy, Drama",7.4,641
The Irregulars,2021,TV-14,53 min,"Crime, Drama, Fantasy",6.8,409
Yara,2021,TV-14,96 min,"Crime, Drama, Thriller",6.3,"5,019"
The Way of the Househusband,2021,TV-14,16 min,"Animation, Action, Comedy",7.3,"4,437"
The Innocent,2021,TV-MA,57 min,"Crime, Drama, Mystery",8.0,753
Trese,2021,TV-MA,33 min,"Animation, Action, Adventure",7.0,"3,947"
The Innocent,2021,TV-MA,54 min,"Crime, Drama, Mystery",8.0,744
Chadwick Boseman: Portrait of an Artist,2021,TV-MA,21 min,"Documentary, Short",6.5,136
The Wasteland,2021,TV-MA,92 min,"Drama, Horror, Mystery",4.6,"4,198"
The Innocent,2021,TV-MA,71 min,"Crime, Drama, Mystery",8.1,803
Untold: Breaking Point,2021,TV-MA,68 min,"Documentary, Sport",7.6,"2,865"
The Innocent,2021,TV-MA,66 min,"Crime, Drama, Mystery",8.0,800
Yowis Ben 3,2021,TV-G,113 min,"Comedy, Drama",7.0,171
The Girl on the Train,2021,TV-MA,120 min,"Crime, Drama, Mystery",4.4,"14,592"
Puff: Wonders of the Reef,2021,TV-G,62 min,"Documentary, Family",7.2,837
Neumatt,2021,TV-MA,45 min,Drama,6.9,693
Post Mortem: No One Dies in Skarnes,2021,TV-MA,44 min,"Comedy, Drama, Thriller",7.1,"3,434"
Sisters on Track,2021,PG,96 min,"Documentary, Sport",5.9,208
Anxious People,2021,TV-MA,171 min,"Comedy, Crime, Drama",6.8,"4,086"
Zero Chill,2021,TV-G,35 min,"Comedy, Drama, Family",5.7,"1,457"
JJ+E,2021,TV-14,90 min,"Drama, Romance",5.3,"1,815"
Angèle,2021,TV-MA,84 min,"Documentary, Biography, Music",7.0,543
Kayko and Kokosh,2021,TV-PG,15 min,"Animation, Action, Adventure",6.3,330
Yasuke,2021,TV-MA,30 min,"Animation, Action, Adventure",6.2,"5,308"
Midnight Mass,2021,TV-MA,67 min,"Drama, Fantasy, Horror",8.6,"3,414"
Don't Kill Me,2021,TV-MA,90 min,"Fantasy, Horror, Romance",4.3,"1,883"
Fate: The Winx Saga,2021,TV-MA,53 min,"Action, Adventure, Drama",7.0,"1,357"
Riverdance: The Animated Adventure,2021,TV-G,90 min,"Animation, Adventure, Comedy",5.5,"1,915"
Fate: The Winx Saga,2021,TV-MA,48 min,"Action, Adventure, Drama",7.2,"1,152"
Fate: The Winx Saga,2021,TV-MA,51 min,"Action, Adventure, Drama",7.4,"1,115"
A Tale Dark & Grimm,2021,TV-Y7,26 min,"Animation, Action, Adventure",7.3,"1,421"
Memories of a Murderer: The Nilsen Tapes,2021,TV-MA,84 min,"Documentary, Biography, Crime",6.3,"3,549"
Fate: The Winx Saga,2021,TV-MA,47 min,"Action, Adventure, Drama",7.4,"1,066"
