title,year released,certificate,duration,genre,rating,votes
101 Dalmatians,1996,G,103 min,"Adventure, Comedy, Crime",5.7,"111,407"
Manny & Lo,1996,R,88 min,"Comedy, Drama",6.6,"2,096"
Tremors II: Aftershocks,1996,PG-13,100 min,"Action, Comedy, Horror",5.9,"30,635"
Moesha,1996,TV-PG,30 min,"Comedy, Drama, Family",5.8,"3,798"
3rd Rock from the Sun,1996,TV-PG,60 min,"Comedy, Family, Sci-Fi",7.8,"52,455"
Mars Attacks!,1996,PG-13,106 min,"Comedy, Sci-Fi",6.4,"227,173"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,R,89 min,"Comedy, Crime",6.5,"55,787"
Pokémon,1997,TV-Y7,24 min,"Animation, Action, Adventure",7.5,"42,922"
Princess Mononoke,1997,PG-13,134 min,"Animation, Action, Adventure",8.4,"390,689"
Contact,1997,PG,150 min,"Drama, Mystery, Sci-Fi",7.5,"274,308"
B*A*P*S,1997,PG-13,91 min,Comedy,4.6,"5,488"
Perfect Blue,1997,R,81 min,"Animation, Crime, Drama",8.0,"75,641"
Double Team,1997,R,93 min,"Action, Comedy, Sci-Fi",4.8,"34,662"
South Park,1997,TV-14,22 min,"Animation, Comedy",8.7,"366,394"
Kipper,1997,TV-Y,47 min,"Animation, Short, Comedy",7.0,967
Titanic,1997,PG-13,194 min,"Drama, Romance",7.9,"1,158,746"
Pokémon,1997,TV-Y7-FV,25 min,"Animation, Action, Adventure",8.2,191
Neon Genesis Evangelion: The End of Evangelion,1997,TV-MA,87 min,"Animation, Action, Drama",8.0,"54,347"
Pokémon,1997,TV-Y,22 min,"Animation, Action, Adventure",6.7,79
Oggy and the Cockroaches,1997,TV-Y,8 min,"Animation, Adventure, Comedy",7.4,"4,363"
Pokémon,1997,TV-Y,22 min,"Animation, Action, Adventure",6.1,105
Neon Genesis Evangelion: Death & Rebirth,1997,Not Rated,101 min,"Animation, Action, Drama",7.3,"14,298"
The Devil's Own,1997,R,111 min,"Action, Crime, Drama",6.2,"66,112"
As Good as It Gets,1997,PG-13,139 min,"Comedy, Drama, Romance",7.7,"298,034"
The Lost World: Jurassic Park,1997,PG-13,129 min,"Action, Adventure, Sci-Fi",6.5,"416,716"
Bongwater,1998,R,97 min,"Comedy, Drama, Romance",5.3,"4,434"
Monty Python's Flying Circus: Live at Aspen,1998,Not Rated,58 min,"Documentary, Comedy",7.8,"1,103"
The Challenge,1998,TV-14,60 min,"Adventure, Game-Show, Reality-TV",7.8,"3,454"
Trigun,1998,TV-14,24 min,"Animation, Action, Adventure",8.2,"21,805"
More Tales of the City,1998,TV-MA,330 min,"Drama, Romance",7.9,"1,862"
That '70s Show,1998,TV-14,22 min,"Comedy, Drama, Romance",8.1,"169,768"
Orphen,1998,TV-PG,25 min,"Animation, Action, Adventure",7.1,266
Will & Grace,1998,TV-14,22 min,"Comedy, Romance",7.3,"55,858"
Cardcaptor Sakura,1998,TV-Y7-FV,30 min,"Animation, Action, Adventure",8.0,"5,077"
Mercury Rising,1998,R,111 min,"Action, Crime, Drama",6.1,"74,419"
Dawson's Creek,1998,TV-14,60 min,"Drama, Romance",6.8,"41,567"
There's Something About Mary,1998,R,119 min,"Comedy, Romance",7.1,"311,136"
Cowboy Bebop,1998,TV-14,24 min,"Animation, Action, Adventure",8.9,"117,843"
Rurouni Kenshin: Trust and Betrayal,1999,TV-MA,118 min,"Animation, Action, Adventure",8.6,"14,840"
Great Teacher Onizuka,1999,TV-MA,24 min,"Animation, Comedy, Drama",8.5,"9,298"
Grand Designs,1999,TV-G,50 min,"Documentary, Reality-TV",8.5,"3,181"
My Neighbors the Yamadas,1999,PG,104 min,"Animation, Comedy, Family",7.1,"14,293"
Evicted,1999,R,99 min,Comedy,3.8,83
The King and I,1999,G,87 min,"Animation, Family, Fantasy",4.3,"4,138"
Herod's Law,1999,R,123 min,"Comedy, Crime, Mystery",7.8,"6,171"
Family Guy,1999,TV-MA,22 min,"Animation, Comedy",8.2,"334,757"
Freaks and Geeks,1999,TV-14,44 min,"Comedy, Drama",8.8,"142,164"
American Psycho,2000,R,102 min,"Crime, Drama, Horror",7.6,"598,117"
Gladiator,2000,R,155 min,"Action, Adventure, Drama",8.5,"1,481,531"
Gilmore Girls,2000,TV-PG,44 min,"Comedy, Drama",8.2,"124,089"
The Emperor's New Groove,2000,G,78 min,"Animation, Adventure, Comedy",7.4,"203,092"
Gilmore Girls,2000,TV-PG,44 min,"Comedy, Drama",8.2,"124,087"
CSI: Crime Scene Investigation,2000,TV-14,60 min,"Crime, Drama, Mystery",7.7,"83,833"
Inuyasha,2000,TV-14,24 min,"Animation, Action, Adventure",7.9,"16,398"
Sherina's Adventure,2000,TV-G,112 min,"Adventure, Comedy, Drama",7.8,830
All the Queen's Men,2001,PG-13,99 min,"Action, Comedy, Drama",4.7,"2,669"
Hellsing,2001,TV-MA,23 min,"Animation, Action, Fantasy",7.8,"16,481"
Serendipity,2001,PG-13,90 min,"Comedy, Romance",6.8,"113,554"
Kevin James: Sweat the Small Stuff,2001,TV-PG,60 min,"Documentary, Comedy",7.4,"1,096"
Jimmy Neutron: Boy Genius,2001,G,82 min,"Animation, Action, Adventure",6.0,"34,860"
Star Trek: Enterprise,2001,TV-PG,60 min,"Action, Adventure, Drama",7.5,"53,374"
Trailer Park Boys,2001,TV-MA,30 min,"Comedy, Crime",8.6,"43,638"
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action, Adventure, Drama",8.8,"1,844,055"
Jurassic Park III,2001,PG-13,92 min,"Action, Adventure, Sci-Fi",5.9,"321,937"
Further Tales of the City,2001,TV-MA,180 min,"Drama, Mystery, Romance",7.6,"1,568"
Moonbeams,2001,Not Rated,81 min,Drama,8.1,10
Chandni Bar,2001,Not Rated,150 min,"Crime, Drama",7.6,"2,650"
Spirited Away,2001,PG,125 min,"Animation, Adventure, Family",8.6,"751,180"
The Blue Planet,2001,TV-G,49 min,Documentary,8.0,630
The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178 min,"Action, Adventure, Drama",8.8,"1,844,075"
The Blue Planet,2001,TV-G,48 min,Documentary,8.0,690
The Blue Planet,2001,TV-G,49 min,Documentary,8.3,812
The Blue Planet,2001,TV-G,49 min,Documentary,8.2,695
The Blue Planet,2001,TV-G,49 min,Documentary,8.1,645
The Blue Planet,2001,TV-G,49 min,Documentary,8.6,834
The Blue Planet,2001,TV-G,48 min,Documentary,8.1,632
The Blue Planet,2001,TV-G,49 min,Documentary,8.1,624
Smallville,2001,TV-PG,60 min,"Action, Adventure, Drama",7.5,"127,295"
A Knight's Tale,2001,PG-13,132 min,"Action, Adventure, Romance",6.9,"186,888"
Rurouni Kenshin: Reflection,2001,Not Rated,83 min,"Animation, Adventure, Drama",8.0,"4,202"
Waxing Gibbous,2001,Not Rated,97 min,Drama,5.6,19
Legally Blonde,2001,PG-13,96 min,"Comedy, Romance",6.4,"216,974"
Spy Kids,2001,PG,88 min,"Action, Adventure, Comedy",5.6,"117,739"
Top Gear,2002,TV-PG,45 min,"Adventure, Comedy, Reality-TV",7.1,337
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",8.3,242
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",8.9,508
Top Gear,2002,TV-PG,58 min,"Adventure, Comedy, Reality-TV",8.0,229
Top Gear,2002,TV-PG,42 min,"Adventure, Comedy, Reality-TV",7.8,208
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",8.2,245
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",8.0,229
Top Gear,2002,TV-PG,61 min,"Adventure, Comedy, Reality-TV",8.2,230
Top Gear,2002,TV-PG,52 min,"Adventure, Comedy, Reality-TV",7.7,217
Top Gear,2002,TV-PG,61 min,"Adventure, Comedy, Reality-TV",8.4,290
Still Game,2002,TV-14,30 min,Comedy,8.9,"7,880"
Top Gear,2002,TV-PG,54 min,"Adventure, Comedy, Reality-TV",7.5,241
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",7.5,237
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",7.9,212
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",7.5,231
Top Gear,2002,TV-PG,52 min,"Adventure, Comedy, Reality-TV",8.2,219
Top Gear,2002,TV-PG,49 min,"Adventure, Comedy, Reality-TV",7.7,270
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",7.8,210
Top Gear,2002,TV-PG,54 min,"Adventure, Comedy, Reality-TV",7.9,209
Top Gear,2002,TV-PG,61 min,"Adventure, Comedy, Reality-TV",7.7,215
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",7.7,206
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",7.7,208
Top Gear,2002,TV-PG,52 min,"Adventure, Comedy, Reality-TV",7.7,205
Top Gear,2002,TV-PG,50 min,"Adventure, Comedy, Reality-TV",8.7,317
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",7.7,214
Top Gear,2002,TV-PG,53 min,"Adventure, Comedy, Reality-TV",7.8,208
Top Gear,2002,TV-PG,54 min,"Adventure, Comedy, Reality-TV",7.9,216
Top Gear,2002,TV-PG,45 min,"Adventure, Comedy, Reality-TV",7.0,282
Top Gear,2002,TV-PG,52 min,"Adventure, Comedy, Reality-TV",8.4,255
Top Gear,2002,TV-PG,53 min,"Adventure, Comedy, Reality-TV",7.6,207
Top Gear,2002,TV-PG,55 min,"Adventure, Comedy, Reality-TV",7.8,210
Top Gear,2002,TV-PG,53 min,"Adventure, Comedy, Reality-TV",7.9,211
Top Gear,2002,TV-PG,65 min,"Adventure, Comedy, Reality-TV",7.2,223
Top Gear,2002,TV-PG,50 min,"Adventure, Comedy, Reality-TV",7.7,204
Top Gear,2002,TV-PG,53 min,"Adventure, Comedy, Reality-TV",7.9,208
Top Gear,2002,TV-PG,60 min,"Adventure, Comedy, Reality-TV",7.9,221
Top Gear,2002,TV-PG,53 min,"Adventure, Comedy, Reality-TV",8.0,215
Eye See You,2002,R,96 min,"Crime, Thriller",5.3,"27,280"
Top Gear,2002,TV-PG,51 min,"Adventure, Comedy, Reality-TV",7.8,210
Walking on Water,2002,Not Rated,90 min,Drama,6.5,477
Top Gear,2002,TV-PG,58 min,"Adventure, Comedy, Reality-TV",7.7,226
Top Gear,2002,TV-PG,61 min,"Adventure, Comedy, Reality-TV",7.9,231
Top Gear,2002,TV-PG,53 min,"Adventure, Comedy, Reality-TV",7.7,222
Top Gear,2002,TV-PG,59 min,"Adventure, Comedy, Reality-TV",8.2,261
