title,year released,certificate,duration_min,genre ,rating,votes,age
The Blue Planet,2001,TV-G,48,Documentary,8,690,21
The Blue Planet,2001,TV-G,49,Documentary,8.3,812,21
The Blue Planet,2001,TV-G,49,Documentary,8.2,695,21
The Blue Planet,2001,TV-G,49,Documentary,8.1,645,21
The Blue Planet,2001,TV-G,49,Documentary,8.6,834,21
The Blue Planet,2001,TV-G,48,Documentary,8.1,632,21
The Blue Planet,2001,TV-G,49,Documentary,8.1,624,21
Smallville,2001,TV-PG,60,Action,7.5,"127,295",21
A Knight's Tale,2001,PG-13,132,Action,6.9,"186,888",21
Rurouni Kenshin: Reflection,2001,Not Rated,83,Animation,8,"4,202",21
Waxing Gibbous,2001,Not Rated,97,Drama,5.6,19,21
Legally Blonde,2001,PG-13,96,Comedy,6.4,"216,974",21
Spy Kids,2001,PG,88,Action,5.6,"117,739",21
Top Gear,2002,TV-PG,45,Adventure,7.1,337,20
Top Gear,2002,TV-PG,51,Adventure,8.3,242,20
Top Gear,2002,TV-PG,51,Adventure,8.9,508,20
Top Gear,2002,TV-PG,58,Adventure,8,229,20
Top Gear,2002,TV-PG,42,Adventure,7.8,208,20
Top Gear,2002,TV-PG,51,Adventure,8.2,245,20
Top Gear,2002,TV-PG,51,Adventure,8,229,20
Top Gear,2002,TV-PG,61,Adventure,8.2,230,20
Top Gear,2002,TV-PG,52,Adventure,7.7,217,20
Top Gear,2002,TV-PG,61,Adventure,8.4,290,20
Still Game,2002,TV-14,30,Comedy,8.9,"7,880",20
Top Gear,2002,TV-PG,54,Adventure,7.5,241,20
Top Gear,2002,TV-PG,51,Adventure,7.5,237,20
Top Gear,2002,TV-PG,60,Adventure,7.9,212,20
Top Gear,2002,TV-PG,51,Adventure,7.5,231,20
Top Gear,2002,TV-PG,52,Adventure,8.2,219,20
Top Gear,2002,TV-PG,49,Adventure,7.7,270,20
Top Gear,2002,TV-PG,51,Adventure,7.8,210,20
Top Gear,2002,TV-PG,54,Adventure,7.9,209,20
Top Gear,2002,TV-PG,61,Adventure,7.7,215,20
Top Gear,2002,TV-PG,51,Adventure,7.7,206,20
Top Gear,2002,TV-PG,60,Adventure,7.7,208,20
Top Gear,2002,TV-PG,52,Adventure,7.7,205,20
Top Gear,2002,TV-PG,50,Adventure,8.7,317,20
Top Gear,2002,TV-PG,59,Adventure,7.7,214,20
Top Gear,2002,TV-PG,53,Adventure,7.8,208,20
Top Gear,2002,TV-PG,54,Adventure,7.9,216,20
Top Gear,2002,TV-PG,45,Adventure,7,282,20
Top Gear,2002,TV-PG,52,Adventure,8.4,255,20
Top Gear,2002,TV-PG,53,Adventure,7.6,207,20
Top Gear,2002,TV-PG,55,Adventure,7.8,210,20
Top Gear,2002,TV-PG,53,Adventure,7.9,211,20
